pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
FFFFF,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6199542450432131,"[[ 73.66666667  66.66666667]
 [ 40.         100.33333333]]","{'true': 0.7141536560856458, 'false': 0.5216045622228992}","{'true': 0.6027308483060696, 'false': 0.6888617555284222}","{'true': 0.6372759856630824, 'false': 0.5634945107655561}"
FFFFT,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6175732926622607,"[[80.33333333 60.        ]
 [47.33333333 93.        ]]","{'true': 0.6630485481849472, 'false': 0.5719751582224929}","{'true': 0.6082497282362533, 'false': 0.6310241298279576}","{'true': 0.6328816010776386, 'false': 0.5981706610317588}"
FFFTF,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6650948991696323,"[[ 81.66666667  58.66666667]
 [ 35.33333333 105.        ]]","{'true': 0.7489891937379071, 'false': 0.5823450773344164}","{'true': 0.6415519084449475, 'false': 0.7000773783382478}","{'true': 0.69039900160558, 'false': 0.6348375666245136}"
FFFTT,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6555626165056769,"[[ 83.66666667  56.66666667]
 [ 40.         100.33333333]]","{'true': 0.7162929644017356, 'false': 0.595510542525468}","{'true': 0.6387333010990442, 'false': 0.6777195027195027}","{'true': 0.6748508274114702, 'false': 0.6334614411723907}"
FFTFF,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6555499067954584,"[[ 81.66666667  58.66666667]
 [ 38.         102.33333333]]","{'true': 0.7282831929925809, 'false': 0.5783260567908756}","{'true': 0.6409284441049148, 'false': 0.6885770098575734}","{'true': 0.6761020607073238, 'false': 0.6176851512617936}"
FFTFT,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6211447212336892,"[[ 66.          74.33333333]
 [ 32.         108.33333333]]","{'true': 0.7737111102410806, 'false': 0.47104274545639147}","{'true': 0.5947405745283056, 'false': 0.6963968321141406}","{'true': 0.6671017461297918, 'false': 0.5493480349865679}"
FFTTF,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6496314184036603,"[[ 80.33333333  60.        ]
 [ 38.33333333 102.        ]]","{'true': 0.7283218610145618, 'false': 0.572621585947812}","{'true': 0.629866316069947, 'false': 0.6806581269198091}","{'true': 0.6742379073145729, 'false': 0.6201349457811797}"
FFTTT,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6508473140145737,"[[ 82.33333333  58.        ]
 [ 40.         100.33333333]]","{'true': 0.7153091049174606, 'false': 0.5867533082884896}","{'true': 0.6337340445293633, 'false': 0.672908614332045}","{'true': 0.6718461107105664, 'false': 0.626694733060032}"
FTFFF,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6543890865954922,"[[ 64.          76.33333333]
 [ 20.66666667 119.66666667]]","{'true': 0.8524276025874707, 'false': 0.45366365451653295}","{'true': 0.610631416146424, 'false': 0.7757603499135389}","{'true': 0.7094868772051329, 'false': 0.5625450884470312}"
FTFFT,Vrai_Faux,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6258557871547196,"[[ 75.33333333  65.        ]
 [ 40.         100.33333333]]","{'true': 0.7148864151021828, 'false': 0.5327224422107152}","{'true': 0.611851580168688, 'false': 0.6750661152644873}","{'true': 0.6452141683144971, 'false': 0.5712634659356296}"
